# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
0.000000	40.187896
1.000000	42.068885
2.000000	46.936124
3.000000	52.813770
4.000000	59.070004
5.000000	65.736704
6.000000	72.090529
7.000000	77.386352
8.000000	81.559165
9.000000	84.378295
10.000000	86.002044
11.000000	86.414349
12.000000	86.582021
13.000000	86.278086
14.000000	83.934513
15.000000	84.484703
16.000000	86.464394
17.000000	85.086199
18.000000	80.411103
19.000000	77.684106
20.000000	80.572911
21.000000	85.108283
22.000000	87.026252
23.000000	87.106646
24.000000	85.521281
25.000000	81.440760
26.000000	75.270476
27.000000	69.671689
28.000000	68.391742
29.000000	72.465933
30.000000	78.833870
31.000000	84.140706
32.000000	87.125525
33.000000	87.840922
34.000000	86.171718
35.000000	82.871528
36.000000	82.817771
37.000000	86.264595
38.000000	88.104425
39.000000	87.951832
40.000000	88.253361
41.000000	87.467102
42.000000	84.890285
43.000000	80.586210
44.000000	74.904172
45.000000	68.472559
46.000000	62.180835
47.000000	56.983711
48.000000	54.627043
49.000000	56.470174
50.000000	61.420766
51.000000	67.637284
52.000000	74.197938
53.000000	80.158006
54.000000	84.760232
55.000000	87.674080
56.000000	88.850459
57.000000	88.809594
58.000000	88.988503
59.000000	87.539726
60.000000	84.197236
61.000000	83.715224
62.000000	86.838593
63.000000	88.960693
64.000000	88.537911
65.000000	85.858472
66.000000	80.559276
67.000000	74.348850
68.000000	70.331149
69.000000	70.869762
70.000000	75.627944
71.000000	81.943861
72.000000	86.768797
73.000000	88.711338
74.000000	88.994498
75.000000	87.446283
76.000000	82.965322
77.000000	80.120131
78.000000	81.955992
79.000000	86.525262
80.000000	88.709629
81.000000	87.211753
82.000000	86.636350
83.000000	88.509408
84.000000	89.055671
85.000000	88.838758
86.000000	88.517957
87.000000	87.036756
88.000000	84.289348
89.000000	79.874098
90.000000	73.790137
91.000000	67.174725
92.000000	60.683737
93.000000	54.842831
94.000000	49.274316
95.000000	44.907835
96.000000	42.955482
97.000000	44.502170
98.000000	48.650792
99.000000	54.129402
100.000000	59.916874
101.000000	66.375425
102.000000	72.988220
103.000000	79.082066
104.000000	83.528807
105.000000	86.380858
106.000000	87.897705
107.000000	88.337823
108.000000	88.610532
109.000000	87.343077
110.000000	86.719358
111.000000	87.933435
112.000000	86.560395
113.000000	82.350046
114.000000	80.824940
115.000000	83.956934
116.000000	87.500206
117.000000	88.033904
118.000000	86.258998
119.000000	81.762167
120.000000	75.544898
121.000000	71.407869
122.000000	72.399009
123.000000	77.725765
124.000000	83.555080
125.000000	87.000425
126.000000	87.534502
127.000000	85.264713
128.000000	84.072861
129.000000	86.424349
130.000000	87.834508
131.000000	87.506959
132.000000	86.076992
133.000000	82.757173
134.000000	77.700495
135.000000	71.450322
136.000000	64.768080
137.000000	59.032738
138.000000	56.531032
139.000000	58.995492
140.000000	64.712070
141.000000	71.328728
142.000000	77.441174
143.000000	82.422113
144.000000	85.619293
145.000000	86.806027
146.000000	87.021320
147.000000	85.599655
148.000000	83.044609
149.000000	84.189136
150.000000	86.348341
151.000000	85.857046
152.000000	82.448971
153.000000	76.794333
154.000000	71.000633
155.000000	69.736215
156.000000	74.263558
157.000000	80.441585
158.000000	84.633736
159.000000	86.341114
160.000000	85.584858
161.000000	82.198953
162.000000	78.556743
163.000000	80.201868
164.000000	84.558780
165.000000	85.730990
166.000000	84.041300
167.000000	84.628914
168.000000	86.241128
169.000000	85.993962
170.000000	85.607159
171.000000	84.074752
172.000000	81.305035
173.000000	77.200652
174.000000	71.988666
175.000000	65.740416
176.000000	59.089127
177.000000	52.830735
178.000000	46.949524
179.000000	42.074624
180.000000	40.187930
181.000000	42.061504
182.000000	46.932262
183.000000	52.812172
184.000000	59.069953
185.000000	65.736680
186.000000	72.090428
187.000000	77.385262
188.000000	81.556340
189.000000	84.375093
190.000000	86.000237
191.000000	86.413165
192.000000	86.582447
193.000000	86.278197
194.000000	83.934347
195.000000	84.484849
196.000000	86.464958
197.000000	85.087002
198.000000	80.411388
199.000000	77.684069
200.000000	80.572699
201.000000	85.107688
202.000000	87.027364
203.000000	87.104095
204.000000	85.519423
205.000000	81.439993
206.000000	75.269384
207.000000	69.670680
208.000000	68.392256
209.000000	72.467399
210.000000	78.836446
211.000000	84.144141
212.000000	87.126639
213.000000	87.846448
214.000000	86.174361
215.000000	82.874726
216.000000	82.820524
217.000000	86.265087
218.000000	88.101535
219.000000	87.948765
220.000000	88.256093
221.000000	87.462242
222.000000	84.874603
223.000000	80.576001
224.000000	74.900368
225.000000	68.470869
226.000000	62.177629
227.000000	56.978606
228.000000	54.626573
229.000000	56.475627
230.000000	61.424678
231.000000	67.639193
232.000000	74.199574
233.000000	80.164587
234.000000	84.776431
235.000000	87.692267
236.000000	88.866404
237.000000	88.809058
238.000000	88.976672
239.000000	87.533287
240.000000	84.196903
241.000000	83.718851
242.000000	86.841135
243.000000	88.969414
244.000000	88.517967
245.000000	85.843117
246.000000	80.555232
247.000000	74.344378
248.000000	70.334810
249.000000	70.880618
250.000000	75.633727
251.000000	81.948104
252.000000	86.784268
253.000000	88.730788
254.000000	88.980912
255.000000	87.438624
256.000000	82.967240
257.000000	80.119434
258.000000	81.959584
259.000000	86.529645
260.000000	88.713444
261.000000	87.215916
262.000000	86.635450
263.000000	88.508070
264.000000	89.056448
265.000000	88.833993
