# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
0.000000	39.126326
1.000000	41.053132
2.000000	45.961885
3.000000	51.879772
4.000000	58.232560
5.000000	65.099767
6.000000	71.640072
7.000000	77.119114
8.000000	81.355671
9.000000	84.401922
10.000000	85.886164
11.000000	86.283965
12.000000	86.299795
13.000000	86.383430
14.000000	83.782373
15.000000	84.074205
16.000000	86.253648
17.000000	84.770323
18.000000	79.849508
19.000000	76.929527
20.000000	80.054937
21.000000	85.035953
22.000000	86.762734
23.000000	87.032386
24.000000	85.311331
25.000000	81.199142
26.000000	74.696995
27.000000	68.829121
28.000000	67.491880
29.000000	71.748156
30.000000	78.434378
31.000000	83.940058
32.000000	86.916998
33.000000	87.638596
34.000000	86.234056
35.000000	82.457714
36.000000	82.335870
37.000000	86.056943
38.000000	88.168234
39.000000	87.696271
40.000000	88.075895
41.000000	87.310097
42.000000	84.781495
43.000000	80.356571
44.000000	74.489425
45.000000	67.874919
46.000000	61.373240
47.000000	56.050095
48.000000	53.640880
49.000000	55.525149
50.000000	60.605509
51.000000	66.960299
52.000000	73.746394
53.000000	80.009027
54.000000	84.639982
55.000000	87.541027
56.000000	88.708107
57.000000	88.974667
58.000000	89.148163
59.000000	87.416051
60.000000	83.770470
61.000000	83.281185
62.000000	86.849453
63.000000	88.781047
64.000000	88.361177
65.000000	85.709416
66.000000	80.211498
67.000000	73.682593
68.000000	69.487723
69.000000	70.049774
70.000000	75.018823
71.000000	81.660810
72.000000	86.622783
73.000000	88.752382
74.000000	88.797162
75.000000	87.460055
76.000000	82.585070
77.000000	79.452248
78.000000	81.435963
79.000000	86.238117
80.000000	88.549952
81.000000	86.907073
82.000000	86.601006
83.000000	88.697013
84.000000	88.852255
85.000000	88.856392
86.000000	88.432028
87.000000	86.947678
88.000000	84.192144
89.000000	79.716510
90.000000	73.382553
91.000000	66.542635
92.000000	59.882351
93.000000	53.949218
94.000000	48.324588
95.000000	43.910606
96.000000	41.929523
97.000000	43.500650
98.000000	47.685860
99.000000	53.215823
100.000000	59.093126
101.000000	65.722006
102.000000	72.555303
103.000000	78.913446
104.000000	83.424101
105.000000	86.273723
106.000000	87.807444
107.000000	88.114068
108.000000	88.398040
109.000000	87.522523
110.000000	87.058080
111.000000	87.757301
112.000000	86.307258
113.000000	81.824440
114.000000	80.168301
115.000000	83.651182
116.000000	87.816091
117.000000	87.814906
118.000000	86.130620
119.000000	81.393593
120.000000	74.899828
